# File generated by rsa_timing_lab
# Date: 2025-08-12T10:28:57.964707
#
trial_id,rsa_config_name,key_size,samples_used,success,attack_time,collection_time
always_sub_0us_ks64_key07,always_sub_0us,64,40000,False,59.86627697944641,22.833490133285522
always_sub_0us_ks64_key07,always_sub_0us,64,80000,False,118.04094004631042,22.833490133285522
always_sub_0us_ks64_key07,always_sub_0us,64,160000,False,248.60457301139832,22.833490133285522
always_sub_0us_ks64_key08,always_sub_0us,64,10000,False,14.935847997665405,22.976741075515747
always_sub_0us_ks64_key08,always_sub_0us,64,20000,False,27.223603010177612,22.976741075515747
always_sub_0us_ks64_key08,always_sub_0us,64,40000,False,58.58432698249817,22.976741075515747
always_sub_0us_ks64_key08,always_sub_0us,64,80000,False,116.0101912021637,22.976741075515747
always_sub_0us_ks64_key08,always_sub_0us,64,160000,False,240.99945878982544,22.976741075515747
always_sub_0us_ks64_key09,always_sub_0us,64,10000,False,14.96062183380127,21.84913206100464
always_sub_0us_ks64_key09,always_sub_0us,64,20000,False,29.56141495704651,21.84913206100464
always_sub_0us_ks64_key09,always_sub_0us,64,40000,False,60.054357051849365,21.84913206100464
always_sub_0us_ks64_key09,always_sub_0us,64,80000,False,111.99118995666504,21.84913206100464
always_sub_0us_ks64_key09,always_sub_0us,64,160000,False,252.75445699691772,21.84913206100464
always_sub_0us_ks128_key00,always_sub_0us,128,10000,False,76.95854616165161,46.02218174934387
always_sub_0us_ks128_key00,always_sub_0us,128,20000,False,154.29841899871826,46.02218174934387
always_sub_0us_ks128_key00,always_sub_0us,128,40000,False,311.0263340473175,46.02218174934387
always_sub_0us_ks128_key00,always_sub_0us,128,80000,False,621.0801429748535,46.02218174934387
always_sub_0us_ks128_key00,always_sub_0us,128,160000,False,1260.2010941505432,46.02218174934387
always_sub_0us_ks128_key01,always_sub_0us,128,10000,False,79.57077383995056,33.829291105270386
always_sub_0us_ks128_key01,always_sub_0us,128,20000,False,155.7631528377533,33.829291105270386
always_sub_0us_ks128_key01,always_sub_0us,128,40000,False,299.1436607837677,33.829291105270386
always_sub_0us_ks128_key01,always_sub_0us,128,80000,False,608.8582482337952,33.829291105270386
always_sub_0us_ks128_key01,always_sub_0us,128,160000,False,1182.3517618179321,33.829291105270386
always_sub_0us_ks128_key02,always_sub_0us,128,10000,False,74.37160873413086,46.708792209625244
always_sub_0us_ks128_key02,always_sub_0us,128,20000,False,160.17497777938843,46.708792209625244
always_sub_0us_ks128_key02,always_sub_0us,128,40000,False,301.14843106269836,46.708792209625244
always_sub_0us_ks128_key02,always_sub_0us,128,80000,False,597.5014388561249,46.708792209625244
always_sub_0us_ks128_key02,always_sub_0us,128,160000,False,1245.5582389831543,46.708792209625244
always_sub_0us_ks128_key03,always_sub_0us,128,10000,False,84.36394906044006,39.06027603149414
always_sub_0us_ks128_key03,always_sub_0us,128,20000,False,146.52316212654114,39.06027603149414
